Language,Namespace,Key
de,common,settings.dataSecurityTitle
de,common,auth.errors.userNotFound
de,common,settings.accountManagement.title
de,common,./components/Header/Header
de,common,Error loading image
de,common,#
de,common,accessLevelChoice.teamAccess
de,common,@
de,common,subscription.upgradeToStandard
de,common,settings.leaveFacility.confirmPrompt
de,common,auth.passwordReset.emailSent
de,common,dashboard.onboarding.step1.facilityLegalNotice
de,common,dashboard.onboarding.buttons.validate
de,common,Permission denied (Search). Ensure you have admin rights or that the database rules allow filtering.
de,common,dashboard.header.profileResetSuccess
de,common,../../../services/firebase
de,common,billingInformation.accessCodePlaceholder
de,common,auth.signup.emailPlaceholder
de,common,auth.errors.resetFailed
de,common,labels.startDate
de,common,auth.signup.accountCreated
de,common,settings.accountManagement.subtitle
de,common,dashboard.onboarding.step1.professionalLegalText2
de,common,auth.signup.confirmPassword
de,common,contactCta.description
de,common,../../../config/keysDatabase
de,common,accountBasics.twoFactorAuthentication
de,common,dashboard.tutorial.currentPageOnlyDesc
de,common,validation.passwordTooShort
de,common,collapse
de,common,auth.signup.password
de,common,.time-grid
de,common,compensationAndBenefits
de,common,jobPreferences.subtitle
de,common,billingInformation.sendTestEmail
de,common,auth.invitation.accepting
de,common,phonePrefixes
de,common,dashboard.onboarding.buttons.sendCode
de,common,auth.login.noAccount
de,common,settings.availabilityNotesDescription
de,common,employer
de,common,labels.probation
de,common,Please enter keywords to search for
de,common,hero.cta.work
de,common,terms.legalDisclaimer
de,common,operations.workerTypes.none
de,common,h1meta.title
de,common,operations.usePlaceholderName
de,common,settings.accountDeletion.loadingPreview
de,common,operations.placeholderName
de,common,auth.errors.tooManyAttempts
de,common,Error inviting employee. Please try again.
de,common,billingInformation.bankingAccessTitle
de,common,contact.form.errors.emailInvalid
de,common,subscription.premium.title
de,common,settings.accountDeletion.confirmMessage
de,common,Schedule created successfully!
de,common,Failed to save professional profile.
de,common,auth.errors.passwordRequirements
de,common,auth.signup.firstName
de,common,common.uploaded
de,common,tags
de,common,dashboard.onboarding.phoneVerification.codeLabel
de,common,dashboard.header.profileResetError
de,common,auth.errors.passwordsDoNotMatch
de,common,subscription.features.premium.advancedAnalytics
de,common,personalDetails.useExistingData
de,common,contractTypes
de,common,auth.signup.createAccount
de,common,billingInformation.viewBankingData
de,common,operations.everyday
de,common,errors.title
de,common,dashboard.onboarding.buttons.nextStep
de,common,billingInformation.yourPhone
de,common,roles.admin
de,common,subscription.features.facility.premium.dedicatedManager
de,common,operations.openingTime
de,common,jobPreferences.selectStatus
de,common,Error rejecting user.
de,common,save
de,common,.
de,common,deleteContract
de,common,name
de,common,support.contact.subtitle
de,common,auth.login.email
de,common,accountDataExport
de,common,personalDetails.firstName
de,common,accountBasics.emailNotifications
de,common,settings.leaveFacility.warning
de,common,billingInformation.sendToEmail
de,common,settings.privacySettingsDescription
de,common,eventTypeLabels.availability
de,common,editEvent
de,common,../admin/pages/finance/RevenueAnalysis
de,common,operations.placeholderNameRequired
de,common,billingInformation.sendCodeError
de,common,billingInformation.residencyPermitTitle
de,common,contactCta.title
de,common,auth.goToLogin
de,common,settings.savedSuccessfully
de,common,dashboard.onboarding.docs.select_doc_type
de,common,jobPreferences.km
de,common,../pages/organization/OrganizationDashboard
de,common,shareThisPost
de,common,terms.tableOfContents.title
de,common,/workspaces
de,common,settings.saveFailed
de,common,dashboard.onboarding.step3.chain.messagePlaceholder
de,common,jobPreferences.workParametersTitle
de,common,contact.form.emailPlaceholder
de,common,hero.cta.recruit
de,common,../pages/glnTest/GLNTestPage
de,common,values.title
de,common,story.title
de,common,postNotFoundDescription
de,common,auth.invitation.loadError
de,common,../admin/pages/finance/BalanceSheet
de,common,auth.signup.signUpWithGoogle
de,common,dashboard.onboarding.step3.chain.phonePrefix
de,common, 
de,common,dashboard.onboarding.step1.restrictedServices.description
de,common,../dashboard/DashboardRoot
de,common,dashboard.navigation.contracts
de,common,dashboard.onboarding.step1.title
